Date,Opinion,Pro,TweetText
3/16/19 3:30,Positive,Pro Gov,"Your Chowkidar is standing firm &amp; serving the nation.\n\nBut, I am not alone.\n\nEveryone who is fighting corruption, dirt, social evils is a Chowkidar.\n\nEveryone working hard for the progress of India is a Chowkidar.\n\nToday, every Indian is saying-#MainBhiChowkidar'"
3/15/19 13:02,Positive,Pro Gov,"This is a New India, where a person\xe2\x80\x99s performance matters, not pedigree. \n\nNo longer will dynastic politics act as a barrier to meritorious people joining the system &amp; working for society. \n\nDoors and opportunities are open for 130 crore Indians, not just a few powerful families. https://t.co/wwp4aroGT4'"
3/15/19 12:57,Positive,Pro Gov,"Public transport is convenient and comfortable. \n\nIn the last five years, Metro projects in many cities have begun and work is underway in many more. \n\nThis will further 'Ease of Living' for people. https://t.co/GQ8dU6zv2"
3/15/19 12:51,Positive,,Happy to see this! https://t.co/26gvVum5T9'
3/15/19 12:50,Positive,Pro Gov,"Honoured that we have got the opportunity to work for Pune's development. \n\nWe are committed to doing even more for the city and surrounding areas. https://t.co/reZOQqmHeZ"""
3/15/19 12:49,Positive,Pro Gov,Thanks for the faith in our work. https://t.co/QBHwZjAXSG'
3/14/19 16:09,Neutral,,Deeply anguished by the loss of lives due to the foot overbridge accident in Mumbai. My thoughts are with the bereaved families. Wishing that the injured recover at the earliest. The Maharashtra Government is providing all possible assistance to those affected.'
3/14/19 13:23,Positive,Pro Gov,Joined the ceremony to mark the presentation of the Gallantry Awards and Distinguished Service Decorations.\n\nIndia is proud of all those who protect the nation. \n\nTheir courage will be remembered for generations to come. https://t.co/t3fO87QdsV'
3/14/19 13:18,Positive,,"India First, India always! https://t.co/XKXkcb925Y'"
3/14/19 13:18,Positive,,"Great gesture! \n\nAlso, Kudos to the great Dabbawalas, whose notable work ensures lakhs of people are fed. https://t.co/9rGfvWZ27j'"
3/14/19 13:17,Positive,,"Voting in high numbers is not about politics but about national interest, for which 130 crore Indians must work together. https://t.co/sU0gUm042h'"
3/14/19 13:16,Positive,,Good effort! \n\nKeep doing so till the elections. https://t.co/EC0P3Bmrdv'
3/14/19 13:15,Positive,,Happy to know that Jan Aushadhi stores are reducing medical expenses and providing good quality medicines. https://t.co/aWHicI0Fbr'
3/14/19 11:24,Neutral,Pro Gov,"With the blessings of 130 crore Indians, what was deemed impossible for decades, by successive governments, is now possible.\n\nOur unwavering commitment to public welfare has ensured outstanding results for all sections of society. \n\nA lot has been done and we aim to do much more! https://t.co/ZGEvb6wxh'"
3/13/19 12:40,Neutral,Pro Gov,No place for middlemen.\n\nNo tolerance for corruption. \n\nNo fake beneficiaries swindling away recourses. \n\nThis is a New India. We have worked hard to remove corruption and punish the corrupt.\n\nDo read this fine piece by @arunjaitley Ji. https://t.co/uK4lWpREHx'
3/13/19 5:30,Neutral,,"My fellow Indians, \n\nUrging you all to strengthen voter awareness efforts across India. \n\nLet us all ensure maximum number of Indians come out to vote in the 2019 Lok Sabha elections.'"
3/13/19 5:25,Neutral,,"Dear @mathrubhumieng, @dinathanthi and Eenadu, \n\nYou have worked to give voice to people's aspirations.\n\nIncreased voter awareness is key to a strong democracy. \n\nI appeal to you to motivate people to vote in large numbers."""
3/13/19 5:16,Neutral,,"The media plays a vital role in a democracy. \n\nIt is also a strong influence on people's minds.\n\nI request @Sanjaygupta0702, @aroonpurie and @18RahulJoshi to work towards greater voter awareness and registration that ensures an impressive turnout at the hustings."""
3/13/19 5:15,Neutral,,"Urging @SrBachchan, @iamsrk and @karanjohar to creatively ensure high voter awareness and participation in the coming elections. \n\nBecause...its all about loving your democracy (and strengthening it). :)'"
3/13/19 5:14,Neutral,,"Voting is not only a right but it\xe2\x80\x99s also a duty. \n\nDear @BeingSalmanKhan and @aamir_khan, \n\nIt is time to inspire and motivate youth in your own Andaz to vote so that we can strengthen Apna Democracy &amp; Apna country.'"
3/13/19 5:13,Neutral,,"Dear @akshaykumar, @bhumipednekar and @ayushmannk, \n\nThe power of a vote is immense and we all need to improve awareness on its importance. \n\nThoda Dum Lagaiye aur Voting ko Ek Superhit Katha banaiye.'"
3/13/19 5:12,Neutral,,"I call upon veterans of the media world, @RajatSharmaLive, @subhashchandra and @vineetjaintimes to take the lead in highlighting the need to vote in large numbers. Doing so would ensure greater participation in democratic processes and strengthen our nation's development."""
3/13/19 5:12,Neutral,,"Dear @msdhoni, @imVkohli and @ImRo45, \nYou are always setting outstanding records on the cricketing field but this time, do inspire the 130 crore people of India to set a new record of high voter turnout in the upcoming elections. \nWhen this happens, democracy will be the winner!'"
