TweetText,Name,Opinion
b'Had a wonderful interaction with recipients of the Nari Shakti Puraskar. \n\nhttps://t.co/3twrQqJFDg\n\nvia NaMo App',Namo,Positive
b'Today\xe2\x80\x99s India will not be helpless in front of terror.\n\nWe will give a befitting reply to those forces who ruin the atmosphere of peace and harmony. https://t.co/vCJaOZtyaY',Namo,Positive
b'Looking forward to interacting with young innovators during the Grand Finale of Smart India Hackathon 2019 at 10 PM via video conferencing. \n\nThe 36 hour long Hackathon would surely lead to pioneering research and innovations that would help solve several national challenges.',Namo,Positive
b'Handed over a \xe2\x80\x9cChadar\xe2\x80\x9d that would be presented at the Ajmer Sharif Dargah on the 807th Urs in the coming days. https://t.co/04q0rEK4bm',Namo,Positive
b'Addressing the Construction Technology India 2019 conference in Delhi. Watch. https://t.co/nke3jvyPM1',Namo,Positive
b'Welcome Home Wing Commander Abhinandan!\n\nThe nation is proud of your exemplary courage.\n\nOur armed forces are an inspiration for 130 crore Indians.\n\nVande Mataram!',Namo,Positive
b'Thank you Andhra Pradesh for the phenomenal support. Addressing a rally in Visakhapatnam. https://t.co/LLmS9i2MJv',Namo,Positive
"b'Addressing a rally in Kanyakumari, Tamil Nadu. Watch. https://t.co/6jfPvu41u4'",Namo,Positive
"b'Greetings to my friend and Bihar\xe2\x80\x99s hardworking Chief Minister, @NitishKumar Ji. Nitish Ji\xe2\x80\x99s persistence ensured Bihar emerged out of the shadows of years of misrule. His pro-people governance has touched the lives of many. I pray for Nitish Ji\xe2\x80\x99s long and healthy life.'",Namo,Positive
b'Interacting with crores of BJP Karyakartas across several locations. Watch. #MeraBoothSabseMazboot https://t.co/X5JmPo1wJE',Namo,Positive
b'Speaking at the National Youth Parliament Festival 2019. Watch. https://t.co/AQrnxGjhFp',Namo,Positive
b'Travelled to the ISKCON temple and back via the Delhi Metro. \n\nHad delightful interactions with fellow passengers. https://t.co/SFYo5LHCVo',Namo,Positive
b'Here are some images from the Gita Aradhana Mahotsav at Delhi\xe2\x80\x99s iconic ISKCON temple. \n\nUnveiled a Bhagwad Gita that is 2.8 meters high and weighs over 800 kg.\n\nThe Gita\xe2\x80\x99s prolific teachings have touched the lives of millions of people across the world. https://t.co/QENuLnF7C9',Namo,Positive
"b'May the lamp of progress and prosperity shine brighter and brighter in every home. \n\nJoin crores of beneficiaries of people-centric schemes of the NDA Government and hardworking @BJP4India Karyakartas in the ongoing #BJPKamalJyoti Sankalp Abhiyan.\n\nCome, let us spread brightness. https://t.co/Pdr9a1OyVQ'",Namo,Positive
b'The Gita teaches us harmony and brotherhood. Addressing a programme at Delhi\xe2\x80\x99s ISKCON temple. https://t.co/iAt7b9r0DF',Namo,Positive
b'Honouring those who have been conferred the Gandhi Peace Prize. Watch my remarks. https://t.co/4arAhGiGag',Namo,Positive
b'Spoke on a widely discussed topic - jobs... https://t.co/NWUh1rSa58',Namo,Positive
"b'These two examples, one each from UP and Jharkhand, will show you how delayed projects adversely impact the development trajectory of our nation. https://t.co/pPcT1yAQBD'",Namo,Positive
"b""NDA's priorities are people centric. Which is why, what must rise, like GDP growth &amp; Ease of Doing Business have risen in our tenure &amp; what should fall, like corruption &amp; prices are falling.\nIn UPA, GDP growth rate was falling, business was tough, prices &amp; corruption were high! https://t.co/HcVbu0h9h5""",Namo,Negative
b'Speaking at the #News18RisingIndia Summit. Watch. https://t.co/x1cTYde6XZ',Namo,Positive
"b'Sharing some more glimpses from the Rashtriya Samar Smaarak, located in the heart of Delhi, near India Gate. \n\nDo visit the Smaarak whenever you can. https://t.co/D2mcdKPL7o'",Namo,Positive
"b'Rashtriya Samar Smaarak, the #NationalWarMemorial has been dedicated to the nation.\n\nIndia is eternally grateful to all those who have served the nation with utmost bravery and vigour. It is due to them that our nation is safe, secure and can reach new heights of progress. https://t.co/wJS8PeTvRQ'",Namo,Positive
"b'People have seen the difference between a Government guided by India First and a Government guided by \xe2\x80\x98Family First.\xe2\x80\x99\n\nThose who focused on \xe2\x80\x98Family First\xe2\x80\x99 were bothered about naming everything under the sun after one family.\n\nOur way is different, we care for 130 crore Indians! https://t.co/repDOfrnlV'",Namo,Positive
